## Lee~Giaver, 2005 (PMID 16121259)
## Homozygous deletion collection, growth (relative abundance in pooled culture)
ORF	cisplatin [500 uM], time [5 generations]	cisplatin [500 uM], time [overnight + 20 generations]	carboplatin [15 mM], time [5 generations]	oxaliplatin [4 mM], time [5 generations]	psoralen [0.5 uM], time [5 generations], radiation [unknown]	angelicin irradiated (angelicin [62.5 uM], time [5 generations], radiation [unknown])	mechlorethamine [62.5 uM], time [overnight + 5 generations]	mechlorethamine [62.5 uM], time [overnight + 20 generations]	mitomycin C [1 mM], time [5 generations]	streptozocin [2 mM], time [5 generations]	streptozocin [2 mM], time [overnight + 20 generations]	methyl methanesulfonate [0.002%], time [5 generations]	camptothecin [30 ug/ml], time [5 generations]	camptothecin [30 ug/ml], time [overnight + 20 generations]	2-dimethylaminoethyl chloride [240 mM], time [5 generations]	4-nitroquinoline N-oxide [0.0313 uM], time [5 generations]
YDL154W	-0.272	0.276	-0.251	-0.091	0.011	0.241	0.022	0.251	-0.276	-0.020	0.160	-0.367	-0.094	-0.019	-0.005	0.097
YDL155W	-0.210	0.466	-0.192	-0.052	0.113	0.354	0.072	0.328	-0.233	0.180	0.135	-0.317	-0.076	-0.102	0.187	0.033
YDL156W	-0.166	0.242	-0.232	-0.144	-0.103	0.163	-0.037	0.232	-0.268	-0.155	0.044	-0.383	-0.096	0.223	-0.237	-0.037
YDL157C	-0.267	-0.229	-0.083	-0.451	0.255	0.148	0.022	0.233	-0.481	-0.013	-0.061	-0.305	0.005	0.169	0.154	0.232
YDL160C	-1.541	-0.000	-0.065	-1.432	-0.399	-0.009	-2.169	-0.000	0.588	-1.296	-0.000	-0.955	-0.008	-0.000	-1.788	-0.787
YDL161W	-0.308	0.242	-0.516	-0.730	-0.299	0.077	0.207	0.414	-0.250	-0.174	-0.141	-0.455	-0.306	0.273	-0.315	0.080
YDL162C	-0.070	-0.557	0.137	-0.156	-0.419	-0.620	-0.586	0.367	0.471	-1.320	-2.149	-0.429	0.221	0.574	-1.361	-0.370
YDL167C	-0.037	0.267	-0.139	-0.311	-0.542	-0.542	-0.362	-0.002	-0.530	-0.209	-0.288	-0.290	-0.569	-0.236	-0.337	-0.570
YDL168W	0.078	-0.468	0.223	0.160	0.211	0.142	0.101	0.007	-0.075	-0.016	0.317	0.214	0.325	0.305	-0.366	0.290
YDL169C	-0.121	-0.028	-0.158	-0.069	0.048	0.056	0.061	0.121	-0.128	0.109	0.078	-0.180	0.041	-0.075	-0.022	-0.092
YDL170W	-0.277	0.320	-0.194	0.004	-0.082	0.005	-0.036	0.253	-0.314	-0.205	-0.054	-0.356	-0.264	-0.070	-0.110	-0.083
YDL171C	-0.137	0.417	-0.041	0.067	0.112	0.221	-0.302	0.120	-0.094	-0.114	0.045	-0.233	-0.184	0.099	0.123	0.356
YDL172C	0.803	-0.006	0.803	0.777	0.063	0.383	0.026	0.133	0.622	0.337	-0.449	0.873	0.540	-0.049	0.577	-0.021
YDL173W	-0.093	0.250	-0.200	-0.364	0.063	0.041	-0.123	0.301	-0.113	-0.119	0.056	-0.314	-0.156	0.267	0.351	0.163
YDL174C	-0.324	0.130	-0.114	-0.298	0.208	0.158	-0.083	0.065	-0.412	-0.025	-0.037	-0.417	-0.201	-0.154	0.279	-0.006
YDL175C	-0.086	-0.296	0.030	0.064	0.196	0.413	-0.530	-0.095	0.046	-0.261	-0.017	0.545	-0.072	0.269	0.125	1.026
YDL176W	-0.259	0.102	-0.318	-0.258	-0.025	-0.251	0.553	0.083	0.011	-0.198	-0.317	0.071	-0.273	-0.195	-0.185	-0.063
YDL177C	-0.412	0.320	-0.310	-0.137	0.024	-0.194	-0.149	0.147	-0.340	-0.004	0.060	-0.426	-0.215	0.113	0.091	-0.053
YDL178W	-0.069	0.323	-0.175	-0.323	0.256	-0.008	-0.159	0.407	-0.111	-0.014	0.042	-0.075	-0.166	-0.036	-0.120	-0.102
YDL179W	0.121	0.045	0.305	0.131	0.106	-0.013	0.157	0.391	0.198	0.235	-0.133	0.064	-0.023	0.070	0.001	-0.011
YDL180W	-0.149	0.583	-0.128	-0.170	0.060	-0.023	-0.044	0.596	-0.113	0.041	-0.008	-0.240	-0.005	0.156	0.168	0.087
YDL182W	-0.263	0.365	-0.048	-0.314	-0.476	-0.195	0.248	0.261	-0.453	-0.459	-0.106	-0.174	-0.182	0.119	-0.279	-0.102
YDL183C	-0.287	-1.168	0.022	-0.391	-0.397	-0.424	-1.064	-0.842	-0.976	-0.720	-1.280	0.002	-0.252	-0.694	-0.055	-0.918
YDL184C	0.015	0.378	0.314	0.265	0.235	0.176	0.127	0.176	0.224	0.531	0.111	0.060	0.034	-0.012	0.132	-0.296
YDL185W	-0.045	-0.000	-0.505	-0.508	0.592	0.085	0.471	-0.000	0.854	0.507	-0.000	0.831	0.674	-0.000	0.210	0.022
YDL186W	-0.089	0.408	-0.109	-0.020	0.181	-0.029	0.059	0.349	0.054	0.001	0.018	-0.031	-0.067	0.085	0.245	0.194
YDL187C	0.079	0.512	-0.047	0.063	0.159	0.099	0.170	0.227	-0.106	0.022	0.312	-0.035	0.167	0.116	0.201	0.098
YDL188C	-0.328	0.109	0.006	-0.140	0.045	-0.194	-0.205	-0.027	-0.370	-0.138	0.026	-0.274	-0.070	-0.014	-0.131	-0.093
YDL189W	-0.189	0.007	-0.224	-0.370	0.078	-0.222	-0.328	-0.097	-0.606	-0.113	-0.444	-0.308	-0.214	-0.117	0.092	-0.218
YDL190C	-0.136	0.394	-0.101	-0.002	0.036	-0.057	-0.292	-0.147	-0.269	-0.147	-0.272	-0.078	-0.099	0.216	-0.089	-0.227
YDL191W	0.447	-0.000	0.479	0.176	-0.506	-0.081	0.230	-0.000	1.394	0.918	-0.000	0.565	0.091	-0.000	-0.307	0.214
YDL192W	0.050	0.190	0.315	-0.238	0.105	-0.052	0.209	0.061	1.012	0.243	1.011	0.292	0.133	-0.137	-0.594	0.127
YDL194W	-0.690	-2.372	-0.610	-0.807	-0.503	-0.357	-0.628	0.497	0.142	-0.283	-0.453	-0.348	-0.088	0.128	-0.862	-0.115
YDL197C	-0.105	0.258	-0.247	-0.407	-0.257	-0.150	0.095	0.102	-0.375	0.042	0.202	-0.176	0.090	0.064	-0.082	-0.075
YDL198C	0.339	-0.000	0.509	0.262	0.225	-0.008	0.562	-0.000	-0.123	0.630	-0.000	0.124	0.137	-0.000	-0.015	0.772
YDL199C	-0.174	0.487	-0.653	-0.665	0.084	-0.347	-0.004	0.176	-0.373	-0.147	-0.603	-0.475	-0.314	0.138	-0.179	-0.230
YDL200C	0.097	0.084	-0.170	-0.095	-0.303	-0.638	0.440	-0.320	-0.176	-0.619	-0.903	-0.371	-0.133	-0.064	-0.432	-0.144
YDL201W	-0.157	0.572	-0.274	0.012	0.169	-0.179	0.072	0.286	0.085	-0.195	-0.218	-0.051	-0.000	0.033	-0.272	0.151
YDL202W	1.072	-0.000	0.810	0.571	0.079	0.043	0.581	-0.000	0.565	0.398	-0.000	0.512	0.428	-0.000	0.093	0.817
YDL203C	0.221	0.734	-0.055	-0.120	-0.107	-0.185	-0.307	-0.390	-0.341	-0.473	0.201	-0.161	0.005	0.135	-0.591	-1.224
YDL204W	-0.114	0.249	-0.293	-0.268	0.165	-0.223	-0.184	-0.185	-0.479	-0.065	0.294	-0.241	-0.370	-0.091	0.130	-0.054
YDL206W	-0.000	0.427	-0.000	-0.000	-0.000	-0.000	-0.000	0.032	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YDL210W	-0.386	0.015	-0.918	-0.462	-0.426	-0.433	0.004	0.117	-0.610	-0.357	0.239	-0.499	-0.190	0.131	-0.653	-0.091
YDL211C	-0.402	0.235	-0.794	-0.566	-0.235	-0.355	-0.335	-0.125	-0.857	-0.408	-0.021	-0.662	-0.097	0.003	-0.631	-0.280
YDL213C	0.001	-0.398	0.017	0.222	0.406	0.287	-0.091	-0.958	-0.048	0.009	-0.336	0.519	0.609	0.219	0.156	0.139
YDL214C	-0.327	0.239	-0.157	-0.232	0.209	0.282	-0.168	-0.266	-0.292	0.262	0.269	-0.294	0.073	0.172	0.273	0.535
YDL215C	-0.416	0.515	-0.488	-0.464	0.030	-0.055	-0.076	-0.009	-0.765	-0.026	0.094	-0.570	-0.492	-0.186	0.107	-0.326
YDL216C	-0.360	0.541	-0.372	-0.907	0.455	-0.126	-0.262	-0.137	-0.652	-0.161	0.204	-0.206	-0.104	0.220	-0.171	1.012
YDL218W	-0.528	0.483	-0.533	-0.360	-0.058	-0.340	-0.142	0.031	-0.356	-0.177	0.246	-0.370	-0.427	0.249	-0.110	-0.137
YDL219W	-0.017	0.509	-0.095	-0.009	-0.156	0.076	-0.129	-0.046	-0.126	-0.261	-0.098	-0.132	-0.221	0.315	-0.007	-0.068
YDL222C	-0.157	0.300	-0.215	-0.482	0.082	-0.041	0.373	-0.039	-0.369	-0.019	0.101	-0.435	0.100	-0.133	-0.482	-0.529
YDL223C	1.054	-0.157	1.189	1.277	0.574	0.651	-0.385	-0.212	1.159	0.349	-0.063	1.419	1.257	0.068	0.310	0.460
YDL224C	-0.417	0.118	-0.396	-0.401	0.036	0.193	0.085	0.330	-0.277	-0.054	0.300	-0.459	-0.121	0.338	-0.109	-0.081
YDL225W	-0.350	0.113	-0.498	-0.582	-0.185	-0.265	-0.750	-0.968	-0.863	-0.098	-0.814	-0.298	-0.193	-0.368	-0.250	-0.693
YDL226C	0.366	-1.803	-0.046	-0.324	0.103	-0.265	-0.837	-0.533	0.028	0.149	0.102	0.184	-0.147	0.394	0.311	-0.299
YDL227C	-0.336	0.084	-0.262	-0.220	0.054	-0.010	-0.490	-0.173	-0.448	0.026	0.133	-0.084	-0.099	0.228	-0.011	-0.103
YDL229W	0.000	-1.423	0.159	0.053	0.348	0.472	-0.344	-0.145	0.091	0.225	0.034	0.322	0.404	0.356	0.375	0.437
YDL230W	-0.163	0.368	0.098	-0.232	0.053	0.140	0.030	0.060	-0.483	-0.255	0.058	-0.021	0.053	0.368	-0.081	0.000
YDL231C	-0.474	0.423	-0.474	-0.411	0.178	-0.105	-0.352	0.092	-0.442	0.051	-0.000	-0.262	-0.162	0.213	-0.118	-0.117
YDL232W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YDL233W	-0.500	0.711	-0.633	-0.570	-0.247	-0.380	-0.176	0.071	-0.514	-0.125	0.378	-0.656	-0.070	0.076	-0.542	-0.180
YDL234C	-0.176	0.625	-0.486	-0.526	0.021	-0.163	-0.288	-0.106	-0.390	-0.174	0.184	-0.156	0.020	0.203	-0.400	-0.295
YDL236W	-0.511	0.266	-0.650	-0.724	-0.103	-0.382	-0.264	0.140	-0.503	-0.298	0.091	-0.504	-0.306	0.410	-0.148	0.242
YDL237W	-0.130	-0.408	-0.392	-0.715	0.129	-0.228	-0.495	-0.108	-0.632	-0.238	0.048	-0.151	-0.396	-0.142	-0.195	0.202
YDL238C	0.082	0.221	-0.041	-0.318	0.430	0.061	-0.325	-0.171	-0.290	0.114	0.187	0.151	0.227	-0.007	0.036	0.217
YDL239C	-0.267	0.497	-0.687	-0.499	0.117	-0.339	-0.280	-0.016	-0.607	-0.035	0.202	-0.296	-0.082	-0.093	-0.376	0.004
YDL240W	-0.070	0.065	-0.426	-0.412	0.072	-0.056	-0.125	-0.380	-0.021	0.121	-0.152	-0.281	0.065	0.321	-0.052	-0.127
YDL241W	-0.719	-0.064	-0.261	-0.198	0.047	-0.231	-0.551	-0.008	-0.334	-0.092	0.364	-0.123	-0.135	0.160	0.041	-0.174
YDL242W	-0.643	0.215	-0.630	-0.600	0.223	-0.537	-0.068	-0.212	-0.760	-0.323	0.287	-0.288	-0.188	0.262	0.021	-0.349
YDL243C	-0.077	0.125	-0.241	-0.435	-0.100	-0.305	0.049	0.111	-0.651	-0.131	0.304	-0.110	0.035	0.193	-0.215	-0.347
YDR001C	0.418	0.350	0.241	-0.458	-0.175	-0.283	-0.195	-0.219	-0.523	-0.198	-0.037	0.190	-0.245	0.360	-0.390	-0.189
YDR003W	-0.189	0.625	-0.249	-0.072	-0.070	-0.040	0.115	0.164	-0.246	-0.233	0.110	-0.090	-0.126	0.143	0.291	-0.353
YDR004W	-3.564	-0.705	-1.978	-2.423	-1.335	-1.422	-2.514	-0.594	-1.800	-2.019	-0.660	-2.042	-2.938	-0.741	-2.822	-2.674
YDR005C	0.090	0.587	0.517	0.316	-0.012	0.263	0.197	-0.578	0.194	-0.040	-0.198	0.465	0.432	0.108	0.301	-0.131
YDR006C	0.453	-0.024	0.203	0.574	-0.276	-0.233	0.015	-0.405	0.090	0.147	0.137	0.059	-0.036	0.055	0.521	-0.633
YDR007W	-0.094	0.673	-0.265	-0.211	-0.025	-0.273	-0.270	-1.587	-0.159	0.077	-0.054	-0.123	-0.124	0.192	0.037	0.033
YDR008C	-0.012	0.550	-0.021	-0.270	0.196	-0.322	-0.480	-1.312	-0.353	-0.097	0.045	0.069	-0.267	0.128	-0.526	-0.065
YDR009W	-0.392	0.197	-0.337	-0.331	-0.111	0.087	-0.059	0.192	-0.462	-0.326	0.084	-0.395	-0.182	0.059	0.244	0.013
YDR010C	-0.279	0.707	-0.437	-0.356	-0.112	-0.157	-0.086	0.222	-1.046	-0.072	-0.039	-0.388	-0.490	-0.426	0.024	-0.708
YDR011W	-0.445	0.259	-0.286	-0.213	-0.210	-0.043	-0.102	-0.005	-1.682	-0.008	0.109	-0.417	-1.045	-0.568	-0.149	-1.395
YDR014W	-1.183	-1.968	-0.457	-0.907	0.005	-0.077	-0.696	-0.629	-1.073	-0.756	-1.158	-0.980	-0.971	-2.221	-1.936	-0.881
YDR015C	-0.401	0.276	-0.276	-0.185	0.178	-0.118	-0.130	0.201	-0.826	0.156	0.233	-0.208	-0.176	0.090	0.159	-0.293
YDR017C	-0.199	-0.000	-0.393	-0.952	-0.586	0.374	-0.697	-0.000	0.607	-0.047	-0.000	0.744	0.399	-0.000	-0.976	1.071
YDR018C	-0.281	-0.054	-0.412	-0.588	0.103	0.107	-0.030	-0.030	-0.607	-0.207	-0.188	-0.124	-0.095	-0.027	-0.186	0.045
YDR019C	-0.377	0.267	-0.433	-0.270	0.064	0.027	-0.033	0.089	-0.418	0.092	-0.107	-0.258	-0.231	0.084	0.043	-0.140
YDR020C	0.535	-0.225	0.563	0.809	0.109	0.170	-0.215	-0.291	0.395	0.040	-0.137	0.133	0.719	0.125	0.339	0.727
YDR022C	-0.138	-0.377	-0.030	-0.014	0.006	0.226	-0.310	-0.056	-0.529	-0.409	0.357	-0.046	-0.144	0.209	-0.016	-0.070
YDR024W	1.174	-0.000	0.620	1.171	0.405	-0.122	1.044	-0.000	2.126	0.511	-0.000	0.892	0.216	-0.000	0.682	0.785
YDR025W	2.337	-0.000	2.146	2.491	0.868	0.800	0.417	-0.000	3.299	0.679	-0.000	1.898	1.691	-0.000	1.127	0.621
YDR026C	-0.121	0.292	-0.066	-0.226	0.288	-0.271	-0.201	0.077	-0.919	-0.059	0.415	-0.250	-0.191	0.134	-0.405	-0.175
YDR027C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YDR028C	-1.751	-0.000	-1.234	-1.823	0.031	-0.106	0.323	-0.000	0.150	0.068	0.006	-0.152	0.058	-0.048	-1.180	-0.204
YDR029W	0.090	0.616	-0.236	-0.323	-0.206	-0.263	-0.036	0.205	-0.206	0.019	0.155	0.023	-0.467	-0.333	-0.506	0.142
YDR030C	-0.438	-0.044	-0.402	-0.266	0.008	-0.063	-0.259	0.459	-0.551	0.108	-0.065	-0.069	0.144	0.235	-0.376	0.140
YDR031W	-0.242	0.273	-0.209	-0.292	0.150	-0.183	-0.063	0.133	-0.534	-0.349	0.191	-0.282	0.023	0.208	-0.220	-0.131
YDR032C	-0.230	0.178	-0.421	-0.370	-0.110	-0.170	0.071	0.205	-0.510	-0.516	0.030	-0.128	0.086	0.237	-0.209	-0.296
YDR033W	-0.323	0.277	0.135	-0.589	0.154	0.008	-0.558	-0.093	-0.190	-0.583	-0.603	-0.089	0.196	0.222	-0.539	-0.131
YDR034C	0.590	0.687	0.347	-0.126	0.388	0.525	-0.217	0.014	0.167	-0.155	0.075	0.331	0.299	-0.056	-0.153	0.245
YDR035W	-0.344	0.359	-0.333	-0.173	-0.105	-0.130	0.071	-0.593	-0.558	0.014	-0.102	-0.364	-0.277	0.165	0.091	-0.206
YDR036C	-0.158	0.343	-0.226	-0.298	0.385	-0.111	-0.301	0.165	-0.481	0.223	0.178	-0.082	0.048	0.165	-0.086	0.042
YDR042C	-0.526	0.328	-0.447	-0.398	0.049	0.157	-0.163	0.144	-0.593	-0.152	0.338	-0.421	-0.421	0.132	-0.029	-0.232
YDR043C	-0.212	-0.172	-0.291	-0.508	-0.200	0.062	-0.325	-0.270	-0.554	-0.258	0.331	-0.295	-0.288	-0.032	-0.467	0.407
YDR046C	-0.202	0.065	-0.185	-0.560	-0.046	0.086	-0.255	-0.285	-0.737	0.037	0.033	-0.375	-0.209	0.248	-0.233	0.076
YDR048C	-0.203	0.443	-0.466	-1.546	-0.129	-0.874	-0.079	0.797	0.325	-0.536	0.194	-0.278	-0.185	0.204	-0.427	0.174
YDR049W	-0.520	-1.204	0.231	-0.526	0.173	-0.116	-0.617	-0.923	-1.156	-0.474	-0.668	-0.290	-0.750	0.089	-0.619	-0.344
YDR051C	-0.280	0.070	-0.427	-0.310	0.188	0.026	0.011	0.253	-0.562	-0.009	-0.335	-0.152	-0.075	0.007	0.011	-0.304
YDR055W	0.009	0.209	-0.148	0.201	-0.335	-0.523	-0.404	0.445	0.284	-0.281	-0.007	0.286	0.002	0.053	-0.247	0.237
YDR056C	-0.157	0.259	0.135	-0.080	0.251	0.408	0.096	0.333	-0.080	0.205	-0.114	-0.186	-0.341	0.140	0.107	0.054
YDR057W	-0.129	-0.706	-0.083	-0.248	-0.276	-0.564	-0.315	0.352	-0.712	0.049	-0.903	-0.215	-0.177	-0.602	-0.229	-0.599
YDR058C	0.256	0.083	0.193	-0.005	-0.154	-0.012	-0.046	-0.342	0.132	-0.326	-0.112	0.125	0.002	-0.117	0.262	-0.001
YDR059C	-0.073	0.440	-0.169	-0.233	0.127	-0.046	-0.084	0.407	-0.137	0.069	-0.034	-0.112	-0.064	0.057	-0.133	-0.218
YDR061W	-0.223	0.444	-0.017	-0.560	-0.005	0.320	0.187	0.303	-0.461	-0.060	0.058	-0.145	0.099	-0.266	-0.051	-0.083
YDR063W	-0.452	0.338	-0.292	-0.213	-0.025	0.068	-0.052	0.477	-0.498	-0.112	-0.027	-0.433	-0.343	0.254	-0.141	-0.181
YDR065W	0.588	-0.000	0.452	0.634	0.265	-0.275	0.638	-0.000	0.283	0.471	-0.000	0.326	0.019	-0.000	0.182	0.641
YDR066C	-0.193	0.302	-0.460	-0.371	-0.120	-0.174	0.020	0.467	-0.567	-0.324	-0.205	-0.271	-0.370	0.079	-0.060	-0.054
YDR067C	0.200	0.020	0.202	0.437	-0.252	-0.047	0.561	-0.103	0.198	-0.486	0.136	0.332	0.330	-0.333	0.017	0.046
YDR068W	0.106	0.056	-0.171	-0.254	0.301	0.036	-0.127	0.400	-0.379	0.064	0.089	-0.075	0.077	-0.214	-0.054	-0.252
YDR069C	-0.752	-0.000	-0.357	-1.228	-0.899	-0.467	-0.436	-0.000	-1.287	-0.179	-0.000	-0.915	-0.671	-0.000	-1.172	-0.124
YDR070C	0.125	0.098	0.036	-0.219	0.364	0.173	0.008	0.256	-0.128	0.097	0.075	0.055	-0.030	0.258	-0.199	-0.138
YDR071C	-0.288	0.197	-0.151	-0.456	0.035	-0.137	-0.295	0.237	-0.200	0.181	0.298	-0.129	-0.117	0.064	0.274	-0.000
YDR072C	-0.087	0.030	-0.672	-0.329	-0.074	-0.153	-0.263	0.634	-0.244	-0.133	-0.313	0.151	0.390	0.313	-0.363	-0.347
YDR073W	-0.135	0.060	-0.009	0.007	0.046	0.087	-0.380	0.139	-0.139	0.169	0.097	-0.259	-0.144	0.142	0.210	-0.075
YDR074W	0.395	-0.115	-0.548	0.167	-0.837	-0.974	0.927	0.087	0.892	-0.389	0.521	0.509	0.108	-0.037	-1.522	0.046
YDR075W	-2.075	-3.758	-0.932	-2.426	-0.171	-0.737	-1.396	-0.336	-2.901	-1.003	-3.382	-1.988	-2.458	-3.675	-3.002	-2.174
